ARTNR1|ABEZ1
280030-1032|FORT/SOCKA
280030-1033|FORT/SOCKA
280030-1034|FORT/SOCKA
280030-1035|FORT/SOCKA
280030-1036|FORT/SOCKA
280030-1037|FORT/SOCKA
280030-1038|FORT/SOCKA
280030-1039|FORT/SOCKA
280030-1040|FORT/SOCKA
280030-1041|FORT/SOCKA
280030-1042|FORT/SOCKA
280030-1043|FORT/SOCKA
280030-1044|FORT/SOCKA
280030-1045|FORT/SOCKA
280030-1046|FORT/SOCKA
280030-1047|FORT/SOCKA
280030-1048|FORT/SOCKA
280030-1049|FORT/SOCKA
280030-1050|FORT/SOCKA
280030-1051|FORT/SOCKA
280030-1052|FORT/SOCKA A
280030-1053|FORT/SOCKA
280030-1054|FORT/SOCKA
280030-1055|FORT/SOCKA
280030-1056|FORT/SOCKA
280030-1057|FORT/SOCKA
280030-1058|FORT/SOCKA
280030-1059|FORT/SOCKA
280030-1060|FORT/SOCKA
280030-1061|FORT/SOCKA
280030-1062|FORT/SOCKA
280030-1063|FORT/SOCKA
280030-1064|FORT/SOCKA
280030-1065|FORT/SOCKA
280030-1066|FORT/SOCKA
280030-1067|FORT/SOCKA
280030-1068|FORT/SOCKA A
280030-1069|FORT/SOCKA A
280030-1070|FORT/SOCKA
280030-1071|FORT/SOCKA
280030-1072|FORT/SOCKA
280030-1073|FORT/SOCKA
280030-1074|FORT/SOCKA
280030-1075|FORT/SOCKA
280030-1076|FORT/SOCKA
280030-1077|FORT/SOCKA
280030-1078|FORT/SOCKA
280030-1079|FORT/SOCKA
280030-1080|FORT/SOCKA
280030-1081|FORT/SOCKA
280030-1082|FORT/SOCKA
280030-1083|FORT/SOCKA
280030-1084|FORT/SOCKA
280030-1085|FORT/SOCKA
280030-1086|FORT/SOCKA
280030-1087|FORT/SOCKA A
280030-1088|FORT/SOCKA A
280030-1089|FORT/SOCKA
280030-1090|FORT/SOCKA
280030-1091|FORT/SOCKA
280030-1092|FORT/SOCKA
280031-2001|FORT/SOCKA 100
280031-2002|FORT/SOCKA 100
280031-2003|FORT/SOCKA 100
280031-2011|FORT/SOCKA 100
280031-2015|FORT/SOCKA 100
280031-2021|FORT/SOCKA 100
280031-2024|FORT/SOCKA 100
280031-2025|FORT/SOCKA 100
280031-2026|FORT/SOCKA 100
280031-2028|FORT/SOCKA 100
280031-2030|FORT/SOCKA 100
280031-2031|FORT/SOCKA 100
280031-2033|FORT/SOCKA 100
280031-2037|FORT/SOCKA 100
280031-2039|FORT/SOCKA 100
280031-2040|FORT/SOCKA 100
280031-2044|FORT/SOCKA 100 A
280031-2045|FORT/SOCKA 100
280031-2046|FORT/SOCKA 100
280031-2047|FORT/SOCKA 100
280031-2048|FORT/SOCKA 100
280031-2052|FORT/SOCKA 100
280031-2053|FORT/SOCKA 100
280031-2055|FORT/SOCKA 100
280031-2058|FORT/SOCKA 100
280031-2059|FORT/SOCKA 100
280031-2062|FORT/SOCKA 100
280031-2066|FORT/SOCKA 100
280031-2068|FORT/SOCKA 100
280031-2070|FORT/SOCKA 100
280031-2071|FORT/SOCKA 100
280031-2072|FORT/SOCKA 100
280031-2073|FORT/SOCKA 100
280031-2074|FORT/SOCKA 100
280031-2075|FORT/SOCKA 100
280031-2085|FORT/SOCKA 100
280031-2089|FORT/SOCKA 100
280031-2090|FORT/SOCKA 100
280031-2091|FORT/SOCKA 100
280031-9980|FORT/SOCKA 100
280032-2201|FORT/SOCKA 6-fach
280032-2202|FORT/SOCKA 6-fach
280032-2203|FORT/SOCKA 6-fach
280032-2210|FORT/SOCKA 6-fach
280032-2224|FORT/SOCKA 6-fach
280032-2230|FORT/SOCKA 6-fach
280032-2231|FORT/SOCKA 6-fach
280032-2232|FORT/SOCKA 6-fach
280032-2233|FORT/SOCKA 6-fach
280032-2239|FORT/SOCKA 6-fach
280032-2240|FORT/SOCKA 6-fach
280032-2248|FORT/SOCKA 6-fach
280032-2251|FORT/SOCKA 6-fach
280032-2254|FORT/SOCKA 6-fach
280032-2255|FORT/SOCKA 6-fach
280032-2256|FORT/SOCKA 6-fach
280032-2258|FORT/SOCKA 6-fach
280032-2259|FORT/SOCKA 6-fach
280032-2270|FORT/SOCKA 6-fach
280032-2273|FORT/SOCKA 6-fach
280032-2274|FORT/SOCKA 6-fach
280032-2288|FORT/SOCKA 6-fach
280032-2291|FORT/SOCKA 6-fach
280032-2292|FORT/SOCKA 6-fach
280033-1001|FORT/SOCKA Beilaufgarn
280033-1002|FORT/SOCKA Beilaufgarn
280033-1003|FORT/SOCKA Beilaufgarn
280033-1011|FORT/SOCKA Beilaufgarn
280033-1015|FORT/SOCKA Beilaufgarn
280033-1024|FORT/SOCKA Beilaufgarn
280033-1028|FORT/SOCKA Beilaufgarn
280033-1033|FORT/SOCKA Beilaufgarn
280033-1037|FORT/SOCKA Beilaufgarn A
280033-1039|FORT/SOCKA Beilaufgarn
280033-1040|FORT/SOCKA Beilaufgarn
280033-1044|FORT/SOCKA Beilaufgarn
280033-1048|FORT/SOCKA Beilaufgarn
280033-1055|FORT/SOCKA Beilaufgarn
280033-1057|FORT/SOCKA Beilaufgarn
280033-1058|FORT/SOCKA Beilaufgarn
280033-1059|FORT/SOCKA Beilaufgarn
280033-1070|FORT/SOCKA Beilaufgarn
280033-1072|FORT/SOCKA Beilaufgarn
280033-1073|FORT/SOCKA Beilaufgarn
280033-1075|FORT/SOCKA Beilaufgarn
280033-1082|FORT/SOCKA Beilaufgarn
280033-1083|FORT/SOCKA Beilaufgarn
280033-1088|FORT/SOCKA Beilaufgarn
280033-1091|FORT/SOCKA Beilaufgarn
280033-9980|Beilaufgarn  Verkaufsboy (= 0,5kg) 25 Farben
280034-2480|FORT/SOCKA Jeans A
280034-2481|FORT/SOCKA Jeans A
280034-2482|FORT/SOCKA Jeans A
280034-2483|FORT/SOCKA Jeans A
280034-2484|FORT/SOCKA Jeans A
280034-2485|FORT/SOCKA Jeans A
280035-2401|FORT/SOCKA Colori A
280035-2402|FORT/SOCKA Colori A
280035-2403|FORT/SOCKA Colori A
280035-2404|FORT/SOCKA Colori A
280035-2405|FORT/SOCKA Colori A
280035-2406|FORT/SOCKA Colori A
280035-2407|FORT/SOCKA Colori A
280035-2408|FORT/SOCKA Colori A
280035-2409|FORT/SOCKA Colori A
280035-2410|FORT/SOCKA Colori A
280035-2411|FORT/SOCKA Colori A
280035-2412|FORT/SOCKA Colori A
280035-2413|FORT/SOCKA Colori A
280035-2414|FORT/SOCKA Colori A
280035-2415|FORT/SOCKA Colori A
280035-2416|FORT/SOCKA Colori A
280035-2417|FORT/SOCKA Colori A
280035-2418|FORT/SOCKA Colori A
280035-2419|FORT/SOCKA Colori A
280035-2420|FORT/SOCKA Colori A
280035-2421|FORT/SOCKA Colori A
280035-2422|FORT/SOCKA Colori A
280035-2423|FORT/SOCKA Colori A
280035-2424|FORT/SOCKA Colori A
280035-2425|FORT/SOCKA Colori A
280035-2426|FORT/SOCKA Colori A
280035-2427|FORT/SOCKA Colori A
280035-2428|FORT/SOCKA Colori A
280035-2429|FORT/SOCKA Colori A
280035-2430|FORT/SOCKA Colori A
280035-2431|FORT/SOCKA Colori A
280035-2432|FORT/SOCKA Colori A
280035-2433|FORT/SOCKA Colori A
280035-2434|FORT/SOCKA Colori A
280035-2435|FORT/SOCKA Colori A
280035-2436|FORT/SOCKA Colori A
280035-2437|FORT/SOCKA Colori A
280035-2438|FORT/SOCKA Colori A
280035-2439|FORT/SOCKA Colori A
280035-2440|FORT/SOCKA Colori A
280044-1301|MERINO STRETCH
280044-1302|MERINO STRETCH
280044-1303|MERINO STRETCH
280044-1304|MERINO STRETCH
280044-1305|MERINO STRETCH
280044-1306|MERINO STRETCH
280044-1307|MERINO STRETCH
280044-1308|MERINO STRETCH
280044-1309|MERINO STRETCH
280044-1310|MERINO STRETCH
280044-1311|MERINO STRETCH
280044-1312|MERINO STRETCH
280044-1313|MERINO STRETCH
280044-1314|MERINO STRETCH
280044-1315|MERINO STRETCH
280044-1316|MERINO STRETCH
280044-1317|MERINO STRETCH
280044-1318|MERINO STRETCH
280044-1319|MERINO STRETCH
280044-1320|MERINO STRETCH
280045-0501|KALINKA A
280045-0502|KALINKA A
280045-0503|KALINKA A
280045-0504|KALINKA A
280045-0505|KALINKA A
280045-0506|KALINKA A
280046-0531|COLLEGE A
280046-0532|COLLEGE A
280046-0533|COLLEGE A
280046-0534|COLLEGE A
280046-0535|COLLEGE A
280046-0536|COLLEGE A
280046-0537|COLLEGE A
280046-0538|COLLEGE A
280047-1621|WONDERWOOL Tweed A
280047-1622|WONDERWOOL Tweed A
280047-1623|WONDERWOOL Tweed A
280047-1624|WONDERWOOL Tweed A
280047-1625|WONDERWOOL Tweed A
280047-1626|WONDERWOOL Tweed A
280047-1627|WONDERWOOL Tweed A
280047-1628|WONDERWOOL Tweed A
280052-1650|Wonderwool Color
280052-1651|Wonderwool Color
280052-1652|Wonderwool Color
280052-1653|Wonderwool Color
280052-1654|Wonderwool Color
280052-1655|Wonderwool Color
280052-1656|Wonderwool Color
280052-1657|Wonderwool Color
280061-1501|BOOGIE A
280061-1502|BOOGIE A
280061-1503|BOOGIE A
280061-1505|BOOGIE A
280061-1506|BOOGIE A
280061-1507|BOOGIE A
280061-1508|BOOGIE A
280061-1509|BOOGIE A
280061-1510|BOOGIE A
280061-1511|BOOGIE A
280061-1512|BOOGIE A
280061-1513|BOOGIE A
280061-1514|BOOGIE A
280061-1515|BOOGIE A
280061-1516|BOOGIE A
280061-1517|BOOGIE A
280061-1518|BOOGIE A
280061-1519|BOOGIE A
280061-1520|BOOGIE A
280061-1521|BOOGIE A
280061-1522|BOOGIE A
280061-1523|BOOGIE A
280061-1524|BOOGIE A
280062-1451|FLANELL A
280062-1452|FLANELL A
280062-1453|FLANELL A
280062-1455|FLANELL A
280062-1456|FLANELL A
280062-1457|FLANELL A
280062-1458|FLANELL A
280062-1459|FLANELL  A
280062-1460|FLANELL A
280062-1462|FLANELL A
280062-1463|FLANELL A
280062-1464|FLANELL A
280062-1465|FLANELL  A
280062-1466|FLANELL A
280062-1467|FLANELL A
280062-1468|FLANELL A
280062-1469|FLANELL A
280062-1470|FLANELL A
280062-1471|FLANELL A
280062-1475|FLANELL A
280062-1476|FLANELL A
280063-5301|MOREA A
280063-5302|MOREA A
280063-5303|MOREA A
280063-5306|MOREA A
280063-5307|MOREA A
280063-5309|MOREA A
280063-5310|MOREA A
280063-5311|MOREA
280063-5312|MOREA
280063-5313|MOREA A
280063-5315|MOREA A
280063-5316|MOREA A
280063-5317|MOREA A
280063-5318|MOREA A
280063-5319|MOREA A
280063-5320|MOREA A
280063-5321|MOREA A
280063-5322|MOREA
280063-5323|MOREA A
280063-5325|MOREA A
280063-5326|MOREA A
280063-5327|MOREA A
280063-5328|MOREA A
280063-5329|MOREA A
280063-5330|MOREA A
280064-1485|FLANELL COLOR A
280064-1486|FLANELL COLOR A
280064-1487|FLANELL COLOR A
280064-1488|FLANELL COLOR A
280064-1489|FLANELL COLOR A
280064-1490|FLANELL COLOR A
280068-7201|BAROLO A
280068-7202|BAROLO A
280068-7203|BAROLO A
280068-7204|BAROLO A
280068-7205|BAROLO A
280068-7206|BAROLO A
280068-7207|BAROLO A
280068-7208|BAROLO A
280068-7209|BAROLO A
280068-7210|BAROLO A
280068-7211|BAROLO A
280068-7212|BAROLO A
280068-7213|BAROLO A
280068-7214|BAROLO A
280068-7215|BAROLO A
280068-7216|BAROLO A
280068-7217|BAROLO A
280068-7218|BAROLO A
280068-7219|BAROLO A
280068-7220|BAROLO A
280068-7221|BAROLO A
280068-7224|BAROLO A
280068-7230|BAROLO A
280069-0780|BANDOLINO COLOR A
280069-0781|BANDOLINO COLOR A
280069-0782|BANDOLINO COLOR A
280069-0783|BANDOLINO COLOR A
280069-0784|BANDOLINO COLOR A
280070-4701|PORTOFINO
280070-4702|PORTOFINO
280070-4703|PORTOFINO
280070-4704|PORTOFINO
280070-4705|PORTOFINO
280070-4706|PORTOFINO
280070-4707|PORTOFINO
280070-4708|PORTOFINO
280070-4709|PORTOFINO A
280070-4710|PORTOFINO
280070-4711|PORTOFINO
280070-4712|PORTOFINO
280070-4713|PORTOFINO
280070-4714|PORTOFINO A
280070-4715|PORTOFINO A
280070-4716|PORTOFINO
280070-4717|PORTOFINO
280070-4718|PORTOFINO
280070-4719|PORTOFINO
280070-4720|PORTOFINO
280070-4721|PORTOFINO
280070-4724|PORTOFINO
280070-4725|PORTOFINO
280070-4726|PORTOFINO A
280070-4727|PORTOFINO
280070-4728|PORTOFINO A
280070-4729|PORTOFINO A
280070-4730|PORTOFINO A
280070-4731|PORTOFINO A
280070-4732|PORTOFINO
280070-4733|PORTOFINO A
280070-4734|PORTOFINO
280070-4735|PORTOFINO
280070-4736|PORTOFINO
280070-4737|PORTOFINO
280070-4738|PORTOFINO
280070-4739|PORTOFINO
280070-9980|PORTOFINO Sort. 26/02 -Modepaket- A
280071-8201|MANUELA GOLD/SILBER A
280071-8202|MANUELA GOLD/SILBER
280073-4661|HOBBY KIDS A
280073-4662|HOBBY KIDS A
280073-4663|HOBBY KIDS A
280073-4664|HOBBY KIDS A
280073-4665|HOBBY KIDS A
280073-4666|HOBBY KIDS A
280073-4667|HOBBY KIDS A
280073-4669|HOBBY KIDS A
280073-4673|HOBBY KIDS A
280074-7920|BIG PRINT A
280074-7922|BIG PRINT
280074-7924|BIG PRINT
280074-7925|BIG PRINT
280074-7926|BIG PRINT
280074-7927|BIG PRINT
280074-7928|BIG PRINT A
280074-7930|BIG PRINT
280074-7931|BIG PRINT
280074-7932|BIG PRINT
280074-7933|BIG PRINT
280075-0701|BANDOLINO
280075-0702|BANDOLINO
280075-0704|BANDOLINO
280075-0705 A|BANDOLINO
280075-0706|BANDOLINO
280075-0707|BANDOLINO
280075-0708|BANDOLINO
280075-0709|BANDOLINO
280075-0710|BANDOLINO
280075-0712|BANDOLINO
280075-0714|BANDOLINO
280075-0715|BANDOLINO
280075-0716|BANDOLINO
280075-0717|BANDOLINO
280075-0719|BANDOLINO
280075-0720|BANDOLINO
280075-0721|BANDOLINO
280075-0722|BANDOLINO
280075-0723|BANDOLINO
280075-0724|BANDOLINO
280075-0726|BANDOLINO
280075-0727|BANDOLINO
280075-0728|BANDOLINO
280075-0730|BANDOLINO
280078-4771|PORTOFINO COLOR
280078-4772|PORTOFINO COLOR
280078-4773|PORTOFINO COLOR
280078-4774|PORTOFINO COLOR A
280078-4775|PORTOFINO COLOR
280078-4776|PORTOFINO COLOR
280078-4777|PORTOFINO COLOR A
280078-4778|PORTOFINO COLOR
280078-4779|PORTOFINO COLOR
280079-4751|PORTOFINO PAPER A
280079-4752|PORTOFINO PAPER A
280079-4753|PORTOFINO PAPER A
280079-4754|PORTOFINO PAPER A
280079-4755|PORTOFINO PAPER A
280079-4756|PORTOFINO PAPER A
280079-4757|PORTOFINO PAPER A
280079-4758|PORTOFINO PAPER A
280079-4759|PORTOFINO PAPER A
280079-4760|PORTOFINO PAPER A
280079-4761|PORTOFINO PAPER A
280079-4762|PORTOFINO PAPER A
280080-4680|PORTOFINO MULTICOLOR
280080-4681|PORTOFINO MULTICOLOR
280080-4682|PORTOFINO MULTICOLOR
280080-4683|PORTOFINO MULTICOLOR
280080-4684|PORTOFINO MULTICOLOR
280080-4685|PORTOFINO MULTICOLOR
280080-4686|PORTOFINO MULTICOLOR
280080-4687|PORTOFINO MULTICOLOR
280104-0451|PUPPENGARN
280104-0452|PUPPENGARN
280104-0453|PUPPENGARN
280104-0454|PUPPENGARN
280104-0455|PUPPENGARN
280104-0456|PUPPENGARN
280104-0457|PUPPENGARN
